ranking;instituicao;tipo_documento;tipo_controle;4;5;6;7;8;9;10;11;12;13;14;15;16;17;ano;mes;relatorio;18;19;20;21;22
77;PROSPER;C;3;;06/1999;15.499;16.361;261;1.183;2;-9.128;-3.498;0;0;-5.286;15.394;;1999;6;Resultado;;;;;
78;SCHAHIN;C;3;;06/1999;73.279;3.797;1.230;1.353;0;-45.329;-19.728;-822;0;-3.336;10.444;;1999;6;Resultado;;;;;
79;BANCOOB;I;3;;06/1999;1.735;23.915;-61;0;0;-23.705;-44;0;0;0;1.840;;1999;6;Resultado;;;;;
80;LA PROVINCIA;I;4;;06/1999;22.409;21.415;8.609;110.660;0;-908;-128.047;0;0;56;34.194;;1999;6;Resultado;;;;;
81;TRIANGULO;I;3;;06/1999;28.878;10.400;-2.242;0;6;-19.765;0;0;0;-588;16.689;;1999;6;Resultado;;;;;
82;AGROINVEST;I;5;2;06/1999;17.759;9.873;344;0;0;-4.017;-17.035;0;0;-2.734;4.190;;1999;6;Resultado;;;;;
83;GUANABARA;I;3;;06/1999;45.348;6.587;4.459;0;0;-9.493;-24.299;-15.448;0;-2.162;4.992;;1999;6;Resultado;;;;;
84;UBS WARBURG;C;4;;06/1999;147;17.359;2.646;1.466;0;-12.811;-4.709;0;0;-1.803;2.295;;1999;6;Resultado;;;;;
85;INVESTCRED;I;5;2;06/1999;14.141;7.976;-123;0;0;-5.206;0;0;0;-582;16.206;;1999;6;Resultado;;;;;
86;CLASSICO;I;3;;06/1999;0;24.111;0;0;0;-10;0;0;0;0;24.101;;1999;6;Resultado;;;;;
87;FATOR;C;3;;06/1999;2;13.510;1.475;0;0;-8.013;0;0;0;0;6.974;;1999;6;Resultado;;;;;
88;DAYCOVAL;I;3;2;06/1999;17.560;26.140;-9.944;3.807;2;-7.393;-8.317;0;0;-591;21.264;;1999;6;Resultado;;;;;
89;BCOMURUGUAI;I;4;;06/1999;18.483;2.412;20.334;1.848;0;-6.809;-14.836;-707;0;-327;20.398;;1999;6;Resultado;;;;;
90;WACHOVIA;I;4;;06/1999;18.322;15.201;-1;19.001;0;-1.906;-80.140;0;0;237;-29.286;;1999;6;Resultado;;;;;
91;INTERCAP;C;3;;06/1999;20.376;6.659;-3.042;0;2.054;-9.047;0;-5.727;0;-21;11.252;;1999;6;Resultado;;;;;
92;PARAIBAN;I;2;;06/1999;6.099;11.309;0;0;-6;-3.885;-44;0;0;-4;13.469;;1999;6;Resultado;;;;;
93;CRUZEIRO;I;3;2;06/1999;15.198;3.187;990;0;766;-10.801;-1.637;0;0;-411;7.292;;1999;6;Resultado;;;;;
94;CREDIBEL;I;3;2;06/1999;9.958;11.560;-1.842;669;279;-6.906;-1.969;0;0;-730;11.019;;1999;6;Resultado;;;;;
95;VR;C;3;;06/1999;15.973;3.882;-514;2.708;0;-5.895;-2.271;0;0;-563;13.320;;1999;6;Resultado;;;;;
96;BEPI;I;2;;06/1999;8.554;2.615;0;0;917;-2.246;-1.294;0;0;-2.469;6.077;;1999;6;Resultado;;;;;
97;THECA;C;3;;06/1999;0;1.785;1.687;0;0;-829;0;0;0;1;2.644;;1999;6;Resultado;;;;;
98;FICSA;I;3;2;06/1999;34.705;6.172;-63;0;118;-8.267;0;0;0;-7.820;24.845;;1999;6;Resultado;;;;;
99;ARAUCARIA;I;3;2;06/1999;8.160;3.706;-1.396;4.349;0;-7.934;-677;0;0;-1.557;4.651;;1999;6;Resultado;;;;;
100;BANSICREDI;I;3;;06/1999;2.293;36.497;-24;0;0;-33.834;-311;0;0;-10;4.611;;1999;6;Resultado;;;;;
