ranking;instituicao;tipo_documento;tipo_controle;4;5;6;7;8;9;10;11;12;13;14;15;16;17;ano;mes;relatorio;18;19;20;21;22
73;CACIQUE;C;3;;12/1998;213.726;5.737;0;0;78.404;0;84.141;4.956;0;2.445;0;8.269;1998;12;Passivo;0;113.916;99.701;13.196;
74;PINE;C;3;;12/1998;235.200;2.164;0;4.229;104.028;0;110.421;20.621;0;617;344;82.383;1998;12;Passivo;0;20.814;62.460;1.039;
75;BANESE;I;2;;12/1998;298.841;55.910;113.919;0;68.916;12.919;251.663;3.313;0;3.710;0;6.739;1998;12;Passivo;0;33.415;-19.466;3.417;
76;BVA;I;3;;12/1998;224.307;0;0;0;42.811;0;42.811;1.578;0;0;0;175.798;1998;12;Passivo;0;4.120;33.105;6.114;
77;BEM;I;2;2;12/1998;458.436;126.353;47.704;132.013;33.400;5.212;344.683;0;0;6.960;14;12.267;1998;12;Passivo;0;94.512;-211.724;5.404;
78;SCHAHIN;C;3;;12/1998;196.716;1.045;0;6.177;61.232;0;68.454;2.353;28.335;33;2.612;75.814;1998;12;Passivo;0;19.115;39.262;-1.018;
79;LA PROVINCIA;I;4;;12/1998;177.392;95;0;1.803;4.483;0;6.381;0;0;21;10;162.194;1998;12;Passivo;0;8.786;39.743;4.681;
80;TRIANGULO;I;3;;12/1998;170.513;3.457;0;0;144.438;0;147.896;2.449;0;3.353;0;0;1998;12;Passivo;0;16.815;41.649;4.185;
81;PROSPER;C;3;;12/1998;131.327;6.859;0;2.211;10.791;0;19.861;11.756;0;3.147;26.738;45.477;1998;12;Passivo;0;24.348;48.045;572;
82;GUANABARA;I;3;;12/1998;146.683;47;0;0;60.549;0;60.595;0;24.198;10;0;41.883;1998;12;Passivo;0;19.997;30.841;5.269;
83;DAYCOVAL;I;3;2;12/1998;102.818;3.975;0;4.081;68.504;0;76.559;6.455;0;40;0;6.807;1998;12;Passivo;0;12.957;65.880;6.738;
84;MODAL;I;3;2;12/1998;144.148;0;0;1.135;18.337;0;19.472;96.803;0;1;0;4.074;1998;12;Passivo;0;23.797;20.294;1.334;
85;GE CAPITAL;I;3;;12/1998;135.363;52;0;125.841;3.470;0;129.363;0;0;1.334;0;0;1998;12;Passivo;0;4.666;14.887;-42;
86;CLASSICO;I;3;;12/1998;6.680;2.582;0;0;0;0;2.582;0;0;1;2.569;0;1998;12;Passivo;0;1.529;142.621;13.601;
87;UBS WARBURG;C;4;;12/1998;92.286;741;0;202;49.213;0;50.156;14.268;0;88;92;10.027;1998;12;Passivo;0;17.654;56.865;-21.567;
88;PARAIBAN;I;2;;12/1998;100.218;71.526;0;0;3.341;0;74.867;4.705;0;560;0;813;1998;12;Passivo;0;19.274;34.538;1.581;
89;WACHOVIA;I;4;;12/1998;97.024;576;0;6.799;2.752;0;10.128;0;0;14;709;84.351;1998;12;Passivo;0;1.822;27.032;-796;
90;INVESTCRED;I;5;2;12/1998;69.830;0;0;6.367;26.367;0;32.734;0;0;19.807;0;0;1998;12;Passivo;0;17.290;49.930;9.227;
91;VR;C;3;;12/1998;89.338;1.784;0;2.023;30.330;0;34.138;10.604;0;6.238;148;5.256;1998;12;Passivo;0;32.955;28.647;3.154;
92;INTERCAP;I;3;2;12/1998;96.912;737;0;3.504;84.326;0;88.567;1.399;0;438;300;0;1998;12;Passivo;0;6.208;20.032;3.469;
93;CRUZEIRO;I;3;2;12/1998;136.941;1.369;0;7.553;42.219;0;51.141;41.482;0;362;0;41.259;1998;12;Passivo;0;2.696;19.078;690;
94;AGROINVEST;I;5;2;12/1998;98.777;6;0;375;27.668;0;28.049;0;0;262;0;69.012;1998;12;Passivo;0;1.455;13.609;1.318;
95;FICSA;I;3;2;12/1998;76.162;2.184;0;6.710;41.459;0;50.352;2.622;0;14;0;0;1998;12;Passivo;0;23.174;38.791;5.054;
96;BEPI;I;2;;12/1998;79.954;31.978;9.810;0;10.092;0;51.881;0;0;1.030;0;19.476;1998;12;Passivo;0;7.566;29.879;-7.767;
97;ARAUCARIA;I;3;2;12/1998;80.482;2.669;0;1.050;40.948;0;44.667;4.260;0;165;2.731;18.076;1998;12;Passivo;0;10.583;28.779;2.948;
98;BANCOOB;I;3;;12/1998;109.176;926;0;3.718;44.453;0;49.097;46.819;0;11.192;0;21;1998;12;Passivo;0;2.047;19.563;75;
