ranking;instituicao;tipo_documento;tipo_controle;4;5;6;7;8;9;10;11;12;13;14;15;16;17;ano;mes;relatorio
71;UBS WARBURG;C;4;;12/1999;200;8.840;-6.629;77;0;-2.823;-2.853;0;0;858;-2.330;;1999;12;Resultado
72;BANESE;I;2;;12/1999;28.380;12.212;24;0;-535;-13.652;-126;0;0;-3.239;23.064;;1999;12;Resultado
73;INVESTCRED;I;5;2;12/1999;78.376;7.334;-822;0;0;-22.715;0;0;0;-27.534;34.639;;1999;12;Resultado
74;PROSPER;C;3;;12/1999;8.757;22.370;-8.285;390;12;-16.652;-3.603;0;0;-1.011;1.978;;1999;12;Resultado
75;PINE;C;3;;12/1999;33.547;5.645;11.525;0;0;-7.045;-8.250;0;-849;-1.324;33.249;;1999;12;Resultado
76;MODAL;I;3;2;12/1999;1.624;32.316;-1.559;0;0;-22.757;-130;0;0;0;9.494;;1999;12;Resultado
77;SOCIETE GENERALE;C;4;;12/1999;35.844;21.730;7.353;4.010;0;-18.997;-21.364;-11.402;0;-1.454;15.720;;1999;12;Resultado
78;INDUSTRIAL DO BRASIL;C;3;;12/1999;20.671;14.112;-2.685;538;0;-13.995;-6.052;-2.109;0;-2.835;7.645;;1999;12;Resultado
79;BVA;I;3;;12/1999;27.130;9.479;543;0;0;-7.552;-16.479;0;0;-6.352;6.769;;1999;12;Resultado
80;BANCOOB;I;3;;12/1999;3.239;17.744;5.056;0;0;-17.378;-280;0;0;0;8.381;;1999;12;Resultado
81;TRIANGULO;I;3;;12/1999;23.823;8.362;1.682;0;4;-19.145;0;0;0;-428;14.298;;1999;12;Resultado
82;LA PROVINCIA;I;4;;12/1999;4.477;6.036;-2.665;20.288;0;-424;-22.046;0;0;-6.846;-1.180;;1999;12;Resultado
83;DAYCOVAL;I;3;2;12/1999;22.554;4.738;-11.563;1.970;1;-7.120;-829;0;0;-499;9.252;;1999;12;Resultado
84;FATOR;C;3;;12/1999;0;15.140;4.437;0;0;-12.367;0;0;0;0;7.210;;1999;12;Resultado
85;CRUZEIRO;I;3;2;12/1999;20.042;7.471;109;0;332;-13.546;-3.281;0;0;-49;11.078;;1999;12;Resultado
86;AGROINVEST;I;4;2;12/1999;12.719;4.304;-63;0;0;-2.394;-8.390;0;0;-1.932;4.244;;1999;12;Resultado
87;CLASSICO;I;3;;12/1999;0;18.255;0;0;0;0;0;0;0;0;18.255;;1999;12;Resultado
88;PARAIBAN;I;2;;12/1999;6.578;6.447;0;0;-13;-1.830;-48;0;0;-313;10.821;;1999;12;Resultado
89;GUANABARA;I;3;;12/1999;31.258;6.518;-8.394;0;0;-10.723;-7.576;-10.265;0;-3.545;-2.727;;1999;12;Resultado
90;BANSICREDI;I;3;;12/1999;3.994;27.794;-773;0;0;-26.615;-339;0;-45;-463;3.553;;1999;12;Resultado
91;BCOMURUGUAI;I;4;;12/1999;15.838;2.064;-240;1.240;0;-4.550;-5.083;-1.249;0;-692;7.328;;1999;12;Resultado
92;WACHOVIA;I;4;;12/1999;11.406;4.873;16;4.325;0;-1.719;-33.029;0;0;103;-14.025;;1999;12;Resultado
93;INTERCAP;C;3;;12/1999;24.047;6.350;-1.694;0;812;-9.148;0;-9.196;0;-281;10.890;;1999;12;Resultado
94;BEPI;I;2;;12/1999;8.146;1.061;0;0;562;-1.662;-1.300;0;0;-2.919;3.888;;1999;12;Resultado
95;FICSA;I;3;2;12/1999;35.065;2.773;2;0;0;-6.350;0;0;0;-6.991;24.499;;1999;12;Resultado
96;VR;C;3;;12/1999;12.922;2.573;149;1.210;0;-5.541;-263;0;0;-539;10.511;;1999;12;Resultado
97;INTERIOR;I;3;;12/1999;14.775;1.251;5;0;0;-5.003;-557;0;0;-1.987;8.484;;1999;12;Resultado
98;PECUNIA;I;3;2;12/1999;23.619;1.489;41;0;158;-5.177;0;0;0;-6.533;13.597;;1999;12;Resultado
99;MORADA;I;3;2;12/1999;14.910;741;43;0;369;-3.131;-3.083;0;0;-651;9.198;;1999;12;Resultado
100;ARAUCARIA;I;3;2;12/1999;9.168;1.911;70;3.909;0;-5.207;-214;0;0;589;10.226;;1999;12;Resultado
101;CREDIBEL;I;3;2;12/1999;7.666;3.879;254;35;0;-5.044;-106;0;0;-2.071;4.613;;1999;12;Resultado
102;RENNER;I;3;;12/1999;12.588;2.560;0;0;0;-4.351;0;0;0;-680;10.117;;1999;12;Resultado
