ranking;instituicao;tipo_documento;tipo_controle;4;5;6;7;8;9;10;11;12;13;14;15;16;17;ano;mes;relatorio;18
56;TOKYOMITSUBISHI;I;4;2;12/1997;1.310.180;3.140;378.069;54.948;10.977;0;242.751;0;570.601;1.074;0;48.621;1997;12;Ativo;
57;BEC;C;2;;12/1997;1.041.713;13.900;42.124;66.631;212.508;0;590.963;-14.088;91.729;2.574;0;35.371;1997;12;Ativo;
58;BNL;I;4;2;12/1997;998.630;4.746;78.923;255.446;38.897;0;473.270;-4.677;114.411;12.856;0;24.758;1997;12;Ativo;
59;SOGERAL;C;5;;12/1997;1.026.121;745;185.930;299.084;28.725;0;256.081;-3.398;146.703;4.271;80.897;27.083;1997;12;Ativo;
60;FININVEST;I;5;2;12/1997;889.718;392;124.165;8.999;77.668;405;557.957;0;52.986;605;0;66.541;1997;12;Ativo;
61;BANESTES;I;2;2;12/1997;867.282;24.541;11.802;101.912;143.850;136;541.526;-155.710;125.339;7.984;0;65.903;1997;12;Ativo;
62;CREFISUL;C;3;;12/1997;847.900;1.115;3.447;120.228;56.137;40;357.651;-3.219;142.600;13.273;19.520;137.107;1997;12;Ativo;
63;CREDIREAL;I;4;2;12/1997;861.659;5.437;248.358;55.905;111.602;67;143.479;0;231.700;2.244;0;62.867;1997;12;Ativo;
64;SUMITBANK;I;4;;12/1997;892.160;4.033;196.197;85.579;5.017;0;382.734;-1.800;212.221;45;0;8.135;1997;12;Ativo;
65;BMD;C;3;;12/1997;827.446;10.182;13.543;34.362;77.188;1.833;270.715;-8.804;305.480;18.157;19.921;84.868;1997;12;Ativo;
66;AGF BRASEG;C;5;;12/1997;804.274;9.755;340.041;142.428;72.671;0;213.591;-932;21.971;1.318;0;3.430;1997;12;Ativo;
67;RAIBOBANK;I;4;;12/1997;688.984;672;125.554;161.563;25.372;0;41.696;0;330.680;964;0;2.484;1997;12;Ativo;
68;SUL AMERICA;C;5;;12/1997;685.470;5.871;77.920;364.162;44.851;0;28.615;-630;89.961;3.852;0;70.869;1997;12;Ativo;
69;BANDEPE;I;2;2;12/1997;676.208;7.411;4.326;68.386;141.064;870;299.995;-954;118.877;3.365;0;32.868;1997;12;Ativo;
70;SANTOS;I;3;2;12/1997;1.541.904;2.729;952.889;129.159;38.099;4.888;308.802;-769;30.433;1.748;0;73.927;1997;12;Ativo;
71;BANESE;I;2;;12/1997;585.532;6.648;307.114;45.879;48.072;0;133.783;-244;23.409;1.811;0;19.059;1997;12;Ativo;
72;SRL;C;5;;12/1997;730.855;7.822;251.092;125.627;26.118;0;158.463;-3.074;135.912;6.062;0;22.832;1997;12;Ativo;
73;PANAMERICANO;I;3;2;12/1997;1.106.224;1.877;562.366;438;58.819;0;429.931;-7.297;41.251;7.476;0;11.363;1997;12;Ativo;
74;BEA;I;2;;12/1997;510.476;15.507;43.929;52.918;42.262;199;323.427;-283;15.001;3.214;0;14.303;1997;12;Ativo;
75;CREDITO SP;I;3;2;12/1997;710.703;515;281.267;83.704;35.793;0;193.227;-1.552;93.050;2.518;0;22.181;1997;12;Ativo;
76;CACIQUE;C;3;;12/1997;454.918;8.672;63.367;140.603;17.127;0;177.949;-285;19.173;4.304;0;24.008;1997;12;Ativo;
77;SOFISA;C;3;;12/1997;414.964;929;117.727;57.767;25.734;15.729;107.769;-2.050;7.283;2.345;62.426;19.306;1997;12;Ativo;
78;OMEGA;C;3;;12/1997;392.669;2.514;8.087;296.781;6;0;11.913;-32;31.688;16.071;0;25.641;1997;12;Ativo;
79;INDUSTRIAL;I;3;2;12/1997;357.294;516;26.385;129.724;12.614;0;131.271;-23;21.880;4.617;0;30.311;1997;12;Ativo;
80;SCHAHIN;C;3;;12/1997;319.568;5.091;17.213;91.221;13.606;0;137.819;-794;33.143;5.748;782;15.738;1997;12;Ativo;
81;BANPARA;I;2;;12/1997;290.053;8.930;73.773;12.376;35.201;955;199.375;-86.901;8.149;1.316;0;36.879;1997;12;Ativo;
82;BNP;I;4;;12/1997;259.855;511;67.992;55.339;0;0;60.346;0;65.674;2.192;0;7.801;1997;12;Ativo;
83;FINANCIAL;I;4;;12/1997;247.833;10.078;5.308;5.788;3.110;13;64.073;-475;152.872;4.816;0;2.251;1997;12;Ativo;
84;BBC;C;3;;12/1997;254.967;3.072;13.837;10.825;29.538;321;113.446;-1.313;38.478;17.609;14.752;14.402;1997;12;Ativo;
85;PRIMUS;C;3;;12/1997;238.914;294;4.084;54.884;0;0;84;0;165.784;28;0;13.756;1997;12;Ativo;
86;BRASCAN;C;5;;12/1997;238.332;11.667;45.161;51.562;13.206;827;47.827;0;42.357;517;0;25.208;1997;12;Ativo;
87;PEBB;C;3;;12/1997;211.072;548;5.329;132.513;10;0;5.612;0;17.962;0;0;49.098;1997;12;Ativo;
88;BEM;I;2;2;12/1997;202.363;10.281;57.628;9.959;24.176;1.339;79.706;-15.813;12.790;1.354;0;20.943;1997;12;Ativo;
89;PROSPER;C;3;;12/1997;196.579;488;16.482;38.890;2.632;38.397;35.540;0;35.954;0;0;28.195;1997;12;Ativo;
90;LA PROVINCIA;I;4;;12/1997;174.715;252;19.213;24.766;634;0;33.432;0;95.442;5;0;971;1997;12;Ativo;
91;TRIANGULO;I;3;;12/1997;169.859;140;21.190;23;16.826;0;117.075;0;6.329;192;0;8.083;1997;12;Ativo;
92;PINE;C;3;;12/1997;147.219;700;27.635;32.880;13.558;0;49.062;0;19.783;52;0;3.550;1997;12;Ativo;
93;DAYCOVAL;I;3;2;12/1997;145.876;1.679;44.201;4.226;5.375;39;69.112;-163;833;14;0;20.560;1997;12;Ativo;
94;PARAIBAN;I;2;;12/1997;136.629;1.793;40.659;52.311;4.093;0;19.466;-6;2.132;1.259;0;14.922;1997;12;Ativo;
95;GUANABARA;I;3;;12/1997;130.893;1.236;13.011;1.797;2.525;0;63.789;-483;6.193;69;42.327;430;1997;12;Ativo;
96;BVA;I;3;;12/1997;132.311;420;11.033;1.122;2.221;0;105.300;0;1.662;0;0;10.553;1997;12;Ativo;
97;BEPI;I;2;;12/1997;125.906;2.061;19.999;48;9.356;265;62.167;-213;22.376;3.059;0;6.788;1997;12;Ativo;
98;LAVRA;I;3;2;12/1997;127.176;7.071;5.043;5.793;4.965;883;63.578;-185;14.832;6.715;0;18.480;1997;12;Ativo;
99;CREDIBEL;I;3;2;12/1997;104.836;1.343;31.138;5.751;6.008;159;36.474;0;6.568;15.591;0;1.805;1997;12;Ativo;
100;FICSA;I;3;2;12/1997;104.816;293;18.565;6.099;1.518;60;59.364;-852;17.630;1.088;0;1.051;1997;12;Ativo;
101;BEMAT;I;2;;12/1997;101.083;103;53.048;2.352;902;3.499;15.323;-375;7.484;286;0;18.460;1997;12;Ativo;
102;INTERCAP;I;3;2;12/1997;100.300;669;27.374;2.936;7.252;0;48.986;-2.773;6.750;154;0;8.951;1997;12;Ativo;
103;INVESTCRED;I;3;2;12/1997;98.095;1.574;76.108;3;0;0;2.256;0;7.782;0;0;10.371;1997;12;Ativo;
104;FATOR;C;3;;12/1997;111.033;653;14.864;41.789;0;0;0;0;41.425;0;0;12.302;1997;12;Ativo;
105;VR;C;3;;12/1997;90.847;2.423;23.037;12.323;2.470;0;37.779;-30;12.559;10;0;278;1997;12;Ativo;
106;WACHOVIA;I;4;;12/1997;88.452;1.173;17.402;25.423;1.132;0;17.194;-113;25.150;17;0;1.074;1997;12;Ativo;
107;CRUZEIRO;I;3;2;12/1997;83.312;208;10.197;1.999;892;0;54.351;0;2.478;1.215;0;11.972;1997;12;Ativo;
108;MODAL;I;3;2;12/1997;79.659;61;0;69.924;2;0;6.537;0;2.577;0;0;558;1997;12;Ativo;
109;CLASSICO;I;3;;12/1997;78.857;3.903;801;72.914;175;588;0;0;61;0;0;415;1997;12;Ativo;
110;ARAUCARIA;I;3;2;12/1997;66.964;1.009;10.068;6.394;3.071;1.016;28.362;-1;8.727;1.658;0;6.659;1997;12;Ativo;
111;PECUNIA;I;3;2;12/1997;59.530;180;12.931;254;0;7;33.026;-262;4.715;3.424;0;5.257;1997;12;Ativo;
