ranking;instituicao;tipo_documento;tipo_controle;4;5;6;7;8;9;10;11;12;13;14;ano;mes;relatorio
59;SUMITBANK;I;4;;06/1996;SAO PAULO;SP;738.691;743.947;116.063;4.446;84.426;170;3;1996;6;Resumo
60;SANTOS;I;3;2;06/1996;SAO PAULO;SP;732.600;732.600;41.165;4.418;175.605;119;2;1996;6;Resumo
61;BNL;I;4;2;06/1996;SAO PAULO;SP;729.380;752.521;95.121;2.265;141.856;229;4;1996;6;Resumo
62;ABC-ROMA;I;5;2;06/1996;SAO PAULO;SP;711.036;746.822;120.462;16.379;214.226;205;4;1996;6;Resumo
63;BANDEPE;I;2;2;06/1996;RECIFE;PE;699.277;746.373;14.504;-42.062;491.079;2.600;54;1996;6;Resumo
64;BEG;I;2;2;06/1996;GOIANIA;GO;617.256;644.352;58.069;-12.659;248.155;3.949;175;1996;6;Resumo
65;BCO GARANTIA;I;3;2;06/1996;SAO PAULO;SP;585.404;585.404;95.924;12.290;134.880;21;2;1996;6;Resumo
66;BMD;C;3;;06/1996;SAO PAULO;SP;573.321;580.969;90.639;1.520;254.199;1.182;33;1996;6;Resumo
67;SRL;I;5;;06/1996;SAO PAULO;SP;569.145;600.404;70.381;5.694;111.457;109;3;1996;6;Resumo
68;INVESTCRED;I;3;2;06/1996;RIO DE JANEIRO;RJ;464.661;464.661;32.297;1.725;288.453;17;1;1996;6;Resumo
69;AGF BRASEG;I;5;2;06/1996;SAO PAULO;SP;450.685;558.540;50.132;2.533;101.290;77;1;1996;6;Resumo
70;OMEGA;C;3;;06/1996;RIO DE JANEIRO;RJ;449.002;599.089;43.552;97;50.538;89;4;1996;6;Resumo
71;BANFORT;I;3;2;06/1996;SAO PAULO;SP;400.372;400.372;53.556;-6.086;195.059;342;15;1996;6;Resumo
72;BANPARA;I;2;2;06/1996;BELEM;PA;346.312;347.979;18.194;-35.310;207.428;1.419;37;1996;6;Resumo
73;BEA;I;2;;06/1996;MANAUS;AM;338.225;338.225;23.557;-3.182;150.288;1.395;37;1996;6;Resumo
74;FININVEST;I;5;2;06/1996;RIO DE JANEIRO;RJ;304.439;369.381;44.867;8.215;232.094;75;4;1996;6;Resumo
75;SOFISA;C;3;;06/1996;SAO PAULO;SP;296.205;297.061;58.625;6.097;181.043;113;2;1996;6;Resumo
76;CACIQUE;I;3;;06/1996;SAO PAULO;SP;275.920;285.928;58.790;5.931;34.880;245;2;1996;6;Resumo
77;PROSPER;I;3;2;06/1996;RIO DE JANEIRO;RJ;257.426;259.100;27.127;4.620;15.992;24;2;1996;6;Resumo
78;PANAMERICANO;I;3;2;06/1996;SAO PAULO;SP;244.328;244.808;35.140;2.638;171.596;167;2;1996;6;Resumo
79;BEM;I;2;2;06/1996;SAO LUIS;MA;239.193;239.193;5.828;-19.229;173.578;1.740;89;1996;6;Resumo
80;CREDITO SP;I;3;2;06/1996;SAO PAULO;SP;234.843;235.289;75.307;10.560;96.759;87;1;1996;6;Resumo
81;BANSANDER;I;4;;06/1996;SAO PAULO;SP;219.830;219.830;54.947;-303;487;36;1;1996;6;Resumo
82;INTERUNION;I;3;2;06/1996;RIO DE JANEIRO;RJ;200.997;202.397;26.125;4.981;34.660;90;3;1996;6;Resumo
83;SCHAHIN;C;3;;06/1996;SAO PAULO;SP;189.075;190.538;20.509;1.447;65.861;102;2;1996;6;Resumo
84;PORTUGUES;I;4;;06/1996;SAO PAULO;SP;179.121;179.121;43.119;2.736;8.234;84;3;1996;6;Resumo
85;FINANCIAL;I;4;;06/1996;SAO PAULO;SP;178.457;179.958;33.657;635;19.026;134;3;1996;6;Resumo
86;BBC;I;3;2;06/1996;GOIANIA;GO;171.181;181.609;15.769;-5.144;113.800;1.193;30;1996;6;Resumo
87;BANESE;I;2;;06/1996;ARACAJU;SE;170.375;170.375;15.312;-3.889;128.846;1.045;47;1996;6;Resumo
88;INDUSTRIAL;I;3;2;06/1996;SAO PAULO;SP;161.774;161.774;44.565;4.178;47.368;61;1;1996;6;Resumo
89;PRODUBAN;I;2;;06/1996;MACEIO;AL;141.410;141.410;-40.113;-25.180;68.864;1.168;24;1996;6;Resumo
90;TRIANGULO;I;3;;06/1996;UBERLANDIA;MG;129.127;129.127;21.191;167;91.851;59;2;1996;6;Resumo
91;HISPANO;I;4;;06/1996;SAO PAULO;SP;124.342;124.342;14.644;-1.542;28.607;31;1;1996;6;Resumo
92;PARAIBAN;I;2;;06/1996;JOAO PESSOA;PB;119.310;119.310;63.081;2.100;35.681;476;7;1996;6;Resumo
93;LAVRA;I;3;2;06/1996;SAO PAULO;SP;114.952;114.987;19.954;27;39.222;94;1;1996;6;Resumo
94;INTERCAP;I;3;2;06/1996;SAO PAULO;SP;98.708;98.829;13.069;2.070;81.163;69;1;1996;6;Resumo
95;GUANABARA;I;3;;06/1996;RIO DE JANEIRO;RJ;94.068;94.068;17.384;1.429;22.844;29;1;1996;6;Resumo
96;BRASCAN;C;5;;06/1996;RIO DE JANEIRO;RJ;93.956;96.006;31.285;1.730;52.210;83;2;1996;6;Resumo
97;DAYCOVAL;I;3;2;06/1996;SAO PAULO;SP;89.516;89.637;38.021;2.509;31.279;118;2;1996;6;Resumo
98;MAPPIN;I;3;2;06/1996;SAO PAULO;SP;87.995;87.995;16.812;2.043;43.300;77;4;1996;6;Resumo
99;ARAUCARIA;I;3;2;06/1996;CURITIBA;PR;85.119;85.119;13.491;218;20.695;49;1;1996;6;Resumo
100;CREDIBEL;I;3;;06/1996;SAO PAULO;SP;83.238;83.238;17.724;-291;54.371;70;2;1996;6;Resumo
101;LA PROVINCIA;I;4;;06/1996;SAO PAULO;SP;81.769;81.769;18.625;870;391;23;1;1996;6;Resumo
102;GERDAU;I;3;2;06/1996;PORTO ALEGRE;RS;80.204;80.204;11.772;204;11.372;15;1;1996;6;Resumo
103;BEPI;I;2;;06/1996;TERESINA;PI;78.383;78.383;36.863;463;23.218;285;6;1996;6;Resumo
104;VR;I;3;2;06/1996;SAO PAULO;SP;72.154;72.154;20.403;1.387;35.432;61;7;1996;6;Resumo
105;BEMAT;I;2;;06/1996;CUIABA;MT;71.316;71.433;-12.854;-19.868;47.818;1.172;30;1996;6;Resumo
106;VEGA;C;3;;06/1996;RIO DE JANEIRO;RJ;70.616;71.741;19.381;1.510;28.175;60;2;1996;6;Resumo
107;FICSA;I;3;2;06/1996;SAO PAULO;SP;60.509;60.816;19.530;2.960;23.942;27;1;1996;6;Resumo
108;PEBB;I;3;2;06/1996;RIO DE JANEIRO;RJ;58.547;58.547;29.637;-13.286;27.739;7;2;1996;6;Resumo
109;AGROINVEST;I;5;2;06/1996;PORTO ALEGRE;RS;57.284;57.284;8.602;514;26.965;9;1;1996;6;Resumo
110;PARANA;I;3;2;06/1996;CURITIBA;PR;53.633;53.633;12.354;59;31.773;90;2;1996;6;Resumo
111;RAIBOBANK;I;4;;06/1996;SAO PAULO;SP;50.530;50.530;29.476;-578;0;63;1;1996;6;Resumo
112;FATOR;C;3;;06/1996;RIO DE JANEIRO;RJ;46.410;46.410;16.403;141;7.219;11;2;1996;6;Resumo
113;SEGMENTO;I;3;2;06/1996;SAO PAULO;SP;44.019;61.317;9.431;-300;16.548;35;1;1996;6;Resumo
114;UNION;I;4;;06/1996;SAO PAULO;SP;42.610;43.246;18.373;-31.431;6.583;51;1;1996;6;Resumo
115;LUSO BRASILEIRO;I;3;;06/1996;SAO PAULO;SP;38.291;38.291;13.695;-599;17.444;54;2;1996;6;Resumo
116;MORADA;I;3;2;06/1996;RIO DE JANEIRO;RJ;36.874;36.874;15.236;567;9.272;6;1;1996;6;Resumo
117;BANIF;C;3;;06/1996;RIO DE JANEIRO;RJ;36.484;36.484;15.268;447;12.758;4;2;1996;6;Resumo
118;PECUNIA;I;3;2;06/1996;SAO PAULO;SP;35.741;35.741;15.703;217;13.843;61;2;1996;6;Resumo
119;OPPORTUNITY;I;3;;06/1996;RIO DE JANEIRO;RJ;35.691;69.793;17.142;683;0;23;1;1996;6;Resumo
120;CEDULA;I;3;;06/1996;RIO DE JANEIRO;RJ;33.255;33.255;17.566;1.613;11.020;41;1;1996;6;Resumo
121;BANAP;I;2;;06/1996;MACAPA;AP;31.808;31.808;6.852;-1.132;21.314;112;2;1996;6;Resumo
122;BANER;I;2;;06/1996;BOA VISTA;RR;31.608;31.608;6.118;-6.393;16.500;206;10;1996;6;Resumo
123;BGN;I;3;;06/1996;RECIFE;PE;30.481;30.481;17.221;1.278;9.974;20;2;1996;6;Resumo
124;INTERIOR;I;3;;06/1996;SAO JOSE DO RIO PRETO;SP;27.938;32.393;11.369;22;13.904;128;8;1996;6;Resumo
125;BANCNACION;I;4;;06/1996;RIO DE JANEIRO;RJ;27.883;27.883;13.477;-2.111;3.327;45;2;1996;6;Resumo
126;BVA;I;3;;06/1996;RIO DE JANEIRO;RJ;27.374;28.744;15.338;3.193;9.474;18;1;1996;6;Resumo
127;RIBEIRAO PRETO;I;3;;06/1996;RIBEIRAO PRETO;SP;27.284;27.284;12.561;876;10.867;18;1;1996;6;Resumo
128;EXTERIBANK;I;4;;06/1996;SAO PAULO;SP;27.253;27.433;25.476;1.338;203;11;1;1996;6;Resumo
129;EMPRESARIAL;I;3;2;06/1996;SAO JOSE DO RIO PRETO;SP;27.251;27.251;10.967;-935;14.625;96;5;1996;6;Resumo
130;RENNER;I;3;;06/1996;PORTO ALEGRE;RS;26.761;26.761;13.525;2.274;10.055;83;1;1996;6;Resumo
131;BCO.SICREDI;I;3;;06/1996;PORTO ALEGRE;RS;25.129;46.040;8.042;542;13.255;;;1996;6;Resumo
132;CLASSICO;I;3;;06/1996;RIO DE JANEIRO;RJ;24.828;24.828;17.605;2.243;744;7;2;1996;6;Resumo
133;PREMIER;I;3;;06/1996;BELO HORIZONTE;MG;24.808;24.808;9.111;1.110;13.716;44;1;1996;6;Resumo
134;MODAL;I;3;;06/1996;RIO DE JANEIRO;RJ;24.439;37.728;11.484;115;12.319;33;1;1996;6;Resumo
