50 Maiores Bancos e o Consolidado do Sistema Financeiro Nacional
ATIVOS
Data-base: Dezembro/1999;;;;;;;;;;;;;;;Balancetes processados até: 21/12/2005

;;;;;;;;;;;;;;;;Em R$ Mil
ATIVOS
Ranking;Instituições;TD;TC;Obs.;Data;Ativo;Disponibilidades;Aplicações;TVM e Instrumentos;Relações;Relações;Oper. Créd. e Arrend. Mercantil;;Outros;Outros;Imobilizado de;Permanente
;;;;;Balancete;Total;;Interfinanceiras;Financeiros Derivativos;Interfinanceiras;Interdependências;Total;Provisão p/ CL;Créditos;Valores e Bens;Arrendamento;(*)
21;BANRISUL                                              ;C;2;         ;12/1999;6.244.117;106.490;771.791;2.825.677;441.496;13.032;2.163.556;-493.571;213.466;23.568;38.070;140.542;
22;BANESTADO                                             ;C;2;1;12/1999;6.195.748;134.542;254.914;2.780.033;552.354;936;1.417.028;-375.636;878.860;67.469;259.494;225.753;
23;LLOYDS                                                ;C;4;         ;12/1999;5.189.845;4.901;144.353;2.265.574;11.475;817.974;818.609;-13.728;723.610;7.103;288.062;121.912;
24;VOTORANTIM                                            ;C;3;         ;12/1999;5.099.413;815;209.970;3.818.897;12.370;0;260.344;-11.657;406.292;10.577;273.414;118.392;
25;BOAVISTA                                              ;C;4;         ;12/1999;5.150.136;214.118;214.591;2.261.492;18.960;3.633;1.268.758;-26.243;877.996;15.180;116.862;184.788;
26;CSFB GARANTIA;C;4;         ;12/1999;4.327.418;96.497;1.525.395;1.330.947;85;0;198.363;0;1.124.069;0;0;52.062;
27;CHASE;C;4;         ;12/1999;4.300.599;521.816;533.209;2.205.826;57;0;195.506;-720;828.426;564;-374;16.288;
28;ALFA                                                  ;C;3;         ;12/1999;3.660.951;20.140;210.197;587.013;122;0;1.910.315;-53.637;228.338;32.043;561.682;164.738;
29;RURAL                                                 ;C;3;         ;12/1999;3.251.686;393.305;119.379;445.447;117.520;0;1.515.894;-21.606;391.019;21.662;169.363;99.701;
30;DEUTSCHE                                              ;C;4;         ;12/1999;2.977.525;7.799;785.499;375.721;4.120;53.647;210.571;0;1.481.006;91;0;59.070;
31;JP MORGAN                                             ;C;4;         ;12/1999;2.452.950;468;754.909;1.020.251;24.074;0;9.440;0;551.518;1.250;0;91.041;
32;BARCLAYS GALICIA                                             ;C;5;         ;12/1999;2.264.436;30.507;13.751;872.366;3.071;0;940.444;-123.289;472.004;30.301;0;25.281;
33;DRESDNER                                              ;C;4;         ;12/1999;2.335.607;47.609;166.895;520.147;31.140;225.000;911.992;-113;407.396;1.604;0;23.937;
34;BBM                                                   ;C;3;         ;12/1999;2.010.896;2.185;456.842;932.739;1.829;56;190.640;-2.215;193.521;867;45.428;189.005;
35;BASA                                                  ;I;1;         ;12/1999;1.993.308;32.071;248.402;836.393;76.152;146;212.996;-878;529.361;1.019;0;57.646;
36;BEG                                                   ;I;1;2;12/1999;1.918.408;22.059;18.200;1.387.386;103.767;392;169.085;-5.788;180.403;12.364;0;30.539;
37;BIC                                                   ;C;3;         ;12/1999;2.775.347;4.934;960.839;565.710;23.643;118;986.679;-29.571;133.626;38.108;32.346;58.914;
38;MERCANTIL DO BRASIL                                   ;C;3;         ;12/1999;2.324.281;12.104;767.544;84.620;69.607;1.416;911.079;-36.934;294.647;24.298;50.952;144.950;
39;ING                                                   ;C;4;         ;12/1999;1.884.937;71.356;779.798;544.919;32.618;0;348.464;0;87.051;184;0;20.547;
40;PACTUAL                                               ;C;5;         ;12/1999;2.026.079;18.849;225.078;907.375;279;0;30.245;-9.158;494.512;3.104;91.356;264.439;
41;BANESTES                                              ;C;2;         ;12/1999;1.748.251;24.397;113.753;542.324;222.749;937;676.559;-61.396;131.489;17.073;13.908;66.458;
42;BEAL                                                  ;I;4;2;12/1999;1.824.313;13.734;442.873;728.405;125;0;158.719;-6.713;481.118;408;0;5.644;
43;ABC-BRASIL                                            ;C;4;         ;12/1999;1.734.226;21.288;80.505;442.087;10.200;0;742.344;0;249.258;5.074;0;183.470;
44;CREDIBANCO                                            ;C;5;         ;12/1999;1.659.657;13.509;315.537;499.443;292;0;608.729;-42.944;131.177;4.400;0;129.513;
45;BNL                                                   ;I;4;2;12/1999;1.603.553;11.578;145.652;562.186;788;0;556.540;-6.536;285.490;10.716;0;37.140;
46;TOKYOMITSUBISHI                                       ;I;4;2;12/1999;1.725.452;18.474;279.397;305.692;3.837;1;402.360;0;681.127;4.081;0;30.483;
47;BMC                                                   ;C;3;         ;12/1999;1.735.723;5.443;300.610;402.769;2.660;0;783.935;-29.271;140.392;34.172;55.597;39.416;
48;AGF BRASEG;C;4;         ;12/1999;1.285.900;23.695;177.546;747.960;966;0;136.654;-4.504;145.070;3.572;46.498;8.442;
49;BRB                                                   ;I;2;2;12/1999;1.286.630;41.565;144.527;108.807;142.343;1.788;528.463;-14.827;135.765;23.059;17.044;158.095;
50;FIBRA                                                 ;C;3;         ;12/1999;1.721.842;11.665;514.004;286.091;16.866;2;210.346;-27.604;289.663;14.005;242.351;164.452;
51;SANTOS                                                ;I;3;2;12/1999;2.792.715;247;1.675.951;227.743;9.552;0;631.231;-6.403;120.354;558;0;133.481;
52;CACIQUE                                               ;C;3;         ;12/1999;1.082.697;7.530;9.085;691.695;5.873;0;277.134;-673;52.921;1.052;0;38.081;
53;RABOBANK                                              ;I;4;         ;12/1999;1.075.596;1.222;88.345;627.654;186;0;110.057;-299;244.843;1.104;0;2.484;
54;BESC                                                  ;I;2;2;12/1999;983.175;26.915;25.545;258.464;87.733;791;367.874;-31.254;120.318;7.372;0;119.418;
55;INTER AMEX                                                  ;C;5;         ;12/1999;952.691;12.693;19.172;345.700;371;128;298.799;-2.977;179.484;1.870;75.253;22.199;
56;SUMITBANK                                             ;I;4;         ;12/1999;916.729;4.192;18.907;470.601;2.895;0;340.873;-891;77.439;55;0;2.658;
57;BMG                                                   ;C;3;         ;12/1999;922.786;1.863;188.788;202.417;3.582;0;173.283;-35.195;93.648;9.459;207.858;77.083;
58;BEC                                                   ;C;1;         ;12/1999;887.613;13.422;56.227;631.273;71.335;0;92.537;-1.097;11.658;1.433;0;10.825;
59;FININVEST                                             ;I;5;2;12/1999;879.270;938;168.265;32.913;1;211;540.449;0;55.718;339;0;80.435;
60;SUL AMERICA                                           ;C;5;         ;12/1999;871.592;3.174;128.362;550.148;728;0;38.746;-244;62.448;1.196;0;87.035;
61;BNP                                                   ;I;4;         ;12/1999;783.307;1.835;380.609;87.029;1.072;0;163.438;-9.152;152.693;21;0;5.764;
62;BRASCAN                                               ;C;4;         ;12/1999;700.740;9.716;3.325;299.658;254;1.996;262.347;0;85.848;1.130;0;36.465;
63;SS                                                    ;C;3;1;12/1999;637.730;4.249;64.395;576;3.220;60;328.205;-2.590;36.392;9.266;161.585;32.374;
64;SOFISA                                                ;C;3;         ;12/1999;609.649;3.799;12.330;209.552;4.424;34.404;189.022;-3.584;34.132;2.339;83.761;39.470;
65;PEBB                                                  ;C;3;         ;12/1999;596.835;385;3.400;549.837;21;0;2.616;0;8.097;3.716;0;28.762;
66;CREDITO SP                                            ;I;3;2;12/1999;620.253;3.696;76.456;240.994;19.015;0;202.286;-866;34.568;2.095;0;42.009;
67;BEM                                                   ;I;2;2;12/1999;538.893;29.331;1.000;361.794;29.111;0;60.541;0;26.154;3.789;0;27.173;
68;SCHAHIN                                               ;C;3;         ;12/1999;527.951;3.827;4.209;320.604;3.143;0;135.648;-1.120;32.810;5.941;1.098;21.791;
69;BANPARA                                               ;I;2;         ;12/1999;477.715;10.179;44.065;167.481;43.920;1.462;214.448;-58.320;11.456;1.529;0;41.496;
70;BEA                                                   ;I;1;         ;12/1999;448.857;16.944;0;252.055;74.716;82;82.811;-119;7.715;1.721;0;12.931;
71;UBS WARBURG                                           ;C;4;         ;12/1999;414.027;3.723;24.282;46.942;0;0;1.093;0;316.746;177;0;21.064;
72;BANESE                                                ;I;2;         ;12/1999;379.359;3.860;82.799;79.055;47.971;0;156.030;-30.721;14.117;2.327;0;23.923;
73;INVESTCRED                                            ;I;5;2;12/1999;370.810;420;26.823;0;0;0;313.058;0;18.002;0;0;12.508;
74;PROSPER                                               ;C;3;         ;12/1999;395.824;2.401;58.304;179.642;835;19.042;26.363;0;79.099;0;0;30.137;
75;PINE                                                  ;C;3;         ;12/1999;355.836;2.035;37.336;21.161;698;0;226.077;-1.587;36.420;0;0;33.695;
76;MODAL                                                 ;I;3;2;12/1999;347.784;49;1.590;317.532;10;0;21.378;0;5.139;0;0;2.086;
77;SOCIETE GENERALE                                      ;C;4;         ;12/1999;337.971;5.359;27.703;96.965;738;0;93.424;-4.963;81.002;1.891;10.901;24.951;
78;INDUSTRIAL DO BRASIL                                  ;C;3;         ;12/1999;324.498;358;35.727;63.969;1.641;0;127.211;-337;44.349;5.729;7.252;38.600;
79;BVA                                                   ;I;3;         ;12/1999;328.026;1.148;10.594;26.436;0;0;263.293;0;7.208;1.390;0;17.957;
80;BANCOOB                                               ;I;3;         ;12/1999;283.530;2.644;18.255;157.628;687;0;89.334;0;8.968;29;0;5.983;
81;TRIANGULO                                             ;I;3;         ;12/1999;280.586;28;12.929;68.280;1.329;0;175.632;0;8.995;39;0;13.354;
82;LA PROVINCIA                                          ;I;4;         ;12/1999;257.644;3.035;45.415;52.936;2.054;0;34.572;0;118.776;4;0;851;
83;DAYCOVAL                                              ;I;3;2;12/1999;359.267;1.314;152.629;38.767;64;0;116.509;-62;2.458;189;0;47.399;
84;FATOR                                                 ;C;3;         ;12/1999;246.644;698;0;198.660;4;0;0;0;34.038;0;0;13.245;
85;CRUZEIRO                                              ;I;3;2;12/1999;253.734;842;14.470;91.866;916;0;123.460;-129;4.418;2.348;0;15.544;
86;AGROINVEST                                            ;I;4;2;12/1999;229.937;121;4.143;13.884;283;0;212.535;-5.611;3.434;426;0;722;
87;CLASSICO                                              ;I;3;         ;12/1999;224.020;3.447;9.177;210.109;194;570;0;0;0;0;0;522;
88;PARAIBAN                                              ;I;2;         ;12/1999;217.137;1.843;161.895;0;5.793;0;28.723;-39;2.724;607;0;15.591;
89;GUANABARA                                             ;I;3;         ;12/1999;207.459;1.778;33.011;38.191;574;0;73.255;-5.557;4.681;1.817;59.174;536;
90;BANSICREDI                                            ;I;3;         ;12/1999;443.315;1.929;328.764;2.247;16.946;0;88.296;-450;2.351;10;0;3.221;
91;BCOMURUGUAI                                           ;I;4;         ;12/1999;154.640;1.200;2.204;11.933;930;0;115.023;-731;8.745;614;11.858;2.865;
92;WACHOVIA                                              ;I;4;         ;12/1999;145.205;811;3.608;38.853;438;0;34.435;-896;65.841;283;0;1.831;
93;INTERCAP                                              ;C;3;         ;12/1999;140.297;557;454;52.118;4;0;31.017;-2.145;3.608;9;48.806;5.869;
94;BEPI                                                  ;I;2;         ;12/1999;124.951;2.699;18.806;19;19.921;0;63.048;-5.667;20.940;533;0;4.650;
95;FICSA                                                 ;I;3;2;12/1999;123.581;264;22.725;8.050;70;102;74.648;-881;16.484;445;0;1.675;
96;VR                                                    ;C;3;         ;12/1999;117.778;3.882;32.062;622;695;0;73.159;-400;7.452;87;0;220;
97;INTERIOR                                              ;I;3;         ;12/1999;100.313;450;11.849;3.969;4.362;0;75.508;-3.430;800;58;0;6.747;
98;PECUNIA                                               ;I;3;2;12/1999;98.267;176;24.801;286;36;11;47.066;-692;16.533;5.915;0;4.136;
99;MORADA                                                ;I;3;2;12/1999;92.428;193;10.946;2;6.155;0;54.153;-46;3.846;2.116;0;15.065;
100;ARAUCARIA                                             ;I;3;2;12/1999;93.705;436;4.578;4.535;574;801;34.308;-644;36.093;5.513;0;7.510;
101;CREDIBEL                                              ;I;3;2;12/1999;88.078;787;4.529;32.359;47;0;31.858;-1.790;5.205;1.878;0;13.204;
102;RENNER                                                ;I;3;         ;12/1999;81.357;327;16.083;3.163;44;0;58.634;-248;2.500;38;0;816;
103;SANTOS NEVES                                          ;I;3;2;12/1999;83.690;588;7.502;704;1.665;0;61.867;-309;439;916;0;10.317;
104;LAVRA                                                 ;C;3;         ;12/1999;80.823;417;0;2;1;2;35.599;-3.388;27.545;8.741;0;11.906;
105;BGN                                                   ;I;3;2;12/1999;80.360;161;5.864;37.162;1;0;29.140;0;1.721;5;0;6.306;
106;PARANA                                                ;I;3;2;12/1999;73.662;437;1.401;12.993;5;1;45.283;-576;3.747;107;0;10.265;
107;PRIMUS;C;4;         ;12/1999;78.057;1.203;7.340;43.096;0;0;4.634;0;5.513;67;0;16.203;
108;LUSO BRASILEIRO                                       ;I;3;         ;12/1999;71.508;1.615;17.911;3.658;237;0;35.109;-495;4.107;3.977;0;5.390;
109;ARGENTARIA                                            ;I;4;         ;12/1999;63.873;53;2.001;51.951;20;0;7.362;-83;2.253;52;0;264;
110;RIBEIRAO PRETO                                        ;I;3;         ;12/1999;61.439;45;707;7.447;93;0;52.170;-315;725;277;0;289;
111;BONSUCESSO                                            ;C;3;         ;12/1999;59.393;405;8.006;549;1.117;0;34.854;-83;1.565;108;12.295;577;
112;OPPORTUNITY                                           ;I;3;2;12/1999;349.849;94;310.476;11.604;0;0;0;0;9.578;1;0;18.095;
113;BANCNACION                                            ;I;4;         ;12/1999;58.016;5.199;9.327;7.766;774;2;13.696;0;16.397;20;0;4.833;
114;PORTO REAL                                            ;I;3;         ;12/1999;56.126;909;1.400;22;2.678;10.597;24.365;-56;4.457;5.023;0;6.733;
115;GE CAPITAL                                            ;I;4;         ;12/1999;54.519;6.522;0;12.668;202;1.006;6.962;0;15.923;1.020;9.600;615;
116;GERDAU                                                ;I;3;2;12/1999;56.390;622;6.274;0;440;0;43.925;-61;526;0;0;4.664;
117;THECA                                                 ;C;3;         ;12/1999;51.240;93;5.302;3.853;0;0;0;0;32.044;15;0;9.934;
118;UNION                                                 ;I;4;         ;12/1999;49.982;1.784;1.901;2.078;119;0;19.261;0;10.612;6.431;0;7.796;
119;CEDULA                                                ;I;3;         ;12/1999;47.594;437;21.712;1.153;83;515;19.331;0;519;127;0;3.718;
120;FRANCES INTER                                         ;I;4;         ;12/1999;47.498;194;6.828;29.957;50;0;9.988;-1.774;2.140;3;0;114;
121;MATONE                                                ;I;3;2;12/1999;41.040;153;11.293;5.902;135;0;16.457;-92;1.126;722;0;5.342;
122;LA REPUBLICA                                          ;I;4;         ;12/1999;22.004;352;1.901;12.267;233;0;4.443;-1.261;1.244;1.325;0;1.499;
123;BANCAP                                                ;I;3;2;12/1999;15.190;221;10.325;36;957;0;3.002;-80;163;181;0;385;
124;HISPANO                                               ;I;4;         ;12/1999;4.293;26;4.192;0;0;0;0;0;73;2;0;1;
Total 50 Maiores Bancos (Consolidado Bancario I)            ;;;;;;698.792.133;15.306.653;66.236.409;198.616.265;50.637.134;1.671.691;207.406.711;-7.836.065;110.473.154;3.629.447;20.462.693;32.188.029;
% de Participacao 50 maiores Bancos (Consolidado Bancario I);;;;;;81,0%;90,0%;86,0%;88,0%;57,0%;96,0%;81,0%;89,0%;91,0%;86,0%;66,0%;69,0%;
Total demais Bancos (Consolidado Bancario I)                ;;;;;;26.431.348;226.501;4.648.590;8.633.235;483.975;71.783;7.842.893;-230.383;2.572.085;119.577;689.441;1.373.657;
Total Consolidado Bancario I ( 124  Instituicoes )          ;;;;;;725.223.481;15.533.154;70.884.999;207.249.500;51.121.109;1.743.474;215.249.604;-8.066.448;113.045.239;3.749.024;21.152.134;33.561.686;
% de Participacao Consolidado Bancario I                    ;;;;;;84,0%;91,0%;92,0%;92,0%;57,0%;100,0%;84,0%;92,0%;93,0%;89,0%;68,0%;72,0%;
1;BNDES                                                 ;I;1;         ;12/1999;86.574.293;16.820;1.073;8.784.168;36.575.846;0;26.868.150;3.122;3.037.352;2.231;0;11.285.530;
2;FIAT;C;4;         ;12/1999;4.007.627;8.771;36.602;323.199;0;0;1.011.519;-142.481;136.630;17.697;2.435.431;180.259;
3;CCF BRASIL                                            ;C;4;         ;12/1999;4.329.445;398.599;1.174.095;597.238;14.795;0;668.218;-5.570;1.246.577;988;61.269;173.236;
4;FORD                                                  ;C;4;         ;12/1999;3.222.043;34.022;99.774;91;0;0;698.641;-98.580;256.676;38.081;2.192.362;976;
5;GM                                                    ;C;4;         ;12/1999;2.505.696;461;183.208;0;0;4.112;909.041;-71.531;161.731;21.813;1.286.072;10.788;
6;VOLKSWAGEN                                            ;C;4;         ;12/1999;2.298.191;6.483;35.822;0;0;0;717.320;-39.905;52.239;11.189;1.495.900;19.141;
7;BRDE                                                  ;I;2;         ;12/1999;1.861.555;412;204.141;242.395;0;0;1.377.844;-12.722;38.248;8.448;242;2.548;
8;BANCOCIDADE                                           ;C;3;         ;12/1999;1.547.405;17.743;118.430;528.545;39.621;40;472.408;-5.730;170.167;18.564;140.968;46.650;
9;REPUBLIC NATION                                       ;C;4;         ;12/1999;1.331.254;11.328;0;1.284.767;930;0;31.391;0;421;41;0;2.376;
10;LIBERAL;C;4;         ;12/1999;1.600.419;45.398;332.720;805.021;286;0;2.339;0;375.523;121;0;39.012;
11;MULTI                                                 ;I;4;         ;12/1999;1.287.430;569;6.348;997.792;886;0;66.039;0;210.353;505;0;4.939;
12;DAIMLERCHRYSLER                                       ;C;4;         ;12/1999;1.175.200;1.132;0;26.925;0;0;229.985;-55.044;32.448;7.350;921.227;11.176;
13;DESENBANCO                                            ;I;2;         ;12/1999;865.582;497;185.756;130.265;1.625;0;561.526;-40.902;18.618;628;0;7.570;
14;ICATU                                                 ;C;3;         ;12/1999;1.175.755;4.425;715.142;368.127;268;0;0;0;65.812;363;0;21.618;
15;BDMG                                                  ;I;2;1;12/1999;705.731;1.957;87.777;49.486;0;0;460.443;-2.624;85.348;755;0;22.590;
16;STOCK;C;3;         ;12/1999;599.186;510;154.959;140.819;56;0;124.107;-1.865;166.936;6;0;13.659;
17;MATRIX                                                ;C;3;         ;12/1999;363.010;89.819;10.148;116.131;588;0;65.073;-421;74.329;37;0;7.306;
18;REDE                                                  ;I;3;         ;12/1999;279.879;344;24.711;11.167;0;0;4.207;-585;29.454;3.694;0;206.888;
19;INDUSVAL                                              ;C;3;         ;12/1999;267.349;7.872;7.119;119.629;3.910;0;64.264;-119;47.981;5.744;0;10.950;
20;BRJ                                                   ;I;3;         ;12/1999;261.058;104;1.171;0;85.528;0;163.135;-73;2.431;2.365;0;6.397;
21;EUROINVEST                                            ;I;5;2;12/1999;253.474;97;129.631;0;72;0;0;0;104.163;0;0;19.511;
22;RENDIMENTO                                            ;I;3;         ;12/1999;243.520;172.498;27.237;4.433;368;0;2.624;-7;7.224;700;0;28.443;
23;VOLVO                                                 ;I;4;2;12/1999;152.324;978;4.246;54.688;0;0;86.186;-3.206;4.930;870;0;3.632;
24;MERRILL LYNCH                                         ;C;4;         ;12/1999;151.439;4.959;29.810;18.212;61;0;0;0;74.576;6;0;23.815;
25;TENDENCIA                                             ;C;3;         ;12/1999;141.434;74.483;41.854;7.338;0;0;0;0;5.182;5;0;12.572;
26;NEW HOLLAND                                           ;I;4;         ;12/1999;132.772;96;2.500;15.284;0;0;116.875;-3.196;809;0;0;404;
27;PORTO SEGURO                                          ;I;3;3;07/1997;118.143;16;440;109.456;0;0;81;0;729;0;0;7.421;
28;SOCOPA                                                ;C;3;         ;12/1999;111.690;1.535;20.542;17.955;3.049;80;30.892;-164;24.707;600;0;12.494;
29;PRIME                                                 ;C;3;         ;12/1999;68.810;100;2.752;50.961;0;0;0;0;11.182;3;0;3.812;
30;GRAPHUS                                               ;C;4;         ;12/1999;183.545;444;151.451;542;0;0;291;0;11.151;0;0;19.665;
31;INTERPART                                             ;I;3;3;06/1999;54.749;20;290;316;67;0;45.137;0;35;7.201;0;1.683;
32;BANCO AXIAL                                           ;I;3;2;12/1999;57.232;470;2.908;40.415;0;0;4.866;0;7.860;11;0;702;
33;FONTE CINDAM                                          ;I;3;         ;12/1999;47.531;22;0;947;558;0;290;0;7.601;754;0;37.359;
34;INDUSCRED                                             ;I;3;         ;12/1999;46.655;322;26.092;9.788;2;0;6.573;0;1.464;2.058;0;355;
35;MARKA                                                 ;I;3;3;02/1999;46.243;118;151;1.365;2.894;125;0;0;39.062;0;0;2.529;
36;TRICURY                                               ;I;3;         ;12/1999;44.734;55;20.464;2.301;0;0;21.075;-266;635;348;0;121;
37;OURINVEST                                             ;C;3;         ;12/1999;41.221;1.542;7.202;7.404;0;0;20.814;0;3.510;8;0;740;
38;TOYOTA                                                ;C;4;         ;12/1999;40.208;16;3.677;21.162;15;0;3.391;0;902;0;2.644;8.402;
39;ARBI                                                  ;C;3;         ;12/1999;39.760;357;0;5.205;22;0;7.948;0;2.972;1.330;0;21.925;
40;EQUATORIAL                                            ;I;3;2;12/1999;39.533;141;26.402;429;173;1.754;7.330;0;1.919;0;0;1.385;
41;BOREAL                                                ;I;3;2;12/1999;39.315;362;3.032;20.465;3;0;136;0;7.006;0;0;8.311;
42;PATRIMONIO                                            ;I;3;         ;12/1999;38.751;239;0;36.282;0;0;0;0;2.000;0;0;230;
43;ROYAL INVEST                                          ;I;3;2;12/1999;29.441;209;1.201;7;0;0;12.250;0;10.371;262;0;5.140;
44;MALCON                                                ;I;3;2;12/1999;28.993;230;10.519;8;4;0;16.226;-827;2.274;214;0;345;
45;FICRISA AXELRUD                                       ;I;3;         ;12/1999;27.951;223;4.552;0;221;0;17.560;-411;3.923;1.450;0;432;
46;EMBLEMA                                               ;I;3;2;12/1999;27.552;311;5.367;12.174;11;0;2.077;-12;2.908;42;0;4.673;
47;POTTENCIAL                                            ;I;3;         ;12/1999;23.775;149;4.102;0;45;0;16.308;-198;2.568;422;0;379;
48;KEB                                                   ;I;4;         ;12/1999;21.888;108;20.455;0;222;0;163;0;251;25;0;665;
49;MAXINVEST                                             ;I;3;         ;12/1999;21.575;142;4.414;0;112;0;10.887;-11;1.377;1.766;0;2.888;
50;FINANSINOS                                            ;I;3;2;12/1999;17.338;254;1.820;44;2;0;11.824;-325;2.832;47;0;840;
51;HEXABANCO                                             ;I;3;         ;12/1999;17.332;199;350;116;0;0;3.079;-464;3.547;3.671;0;6.833;
52;NACOES                                                ;I;3;         ;12/1999;17.387;175;3.895;0;116;0;6.074;-270;1.673;1.304;0;4.420;
53;MISASI                                                ;C;3;         ;12/1999;15.883;24;660;2.513;0;0;5.881;-514;1.791;3;0;5.525;
54;OK                                                    ;I;3;         ;12/1999;13.318;170;239;80;0;0;9.512;-73;1.981;267;0;1.143;
55;MINAS                                                 ;I;3;         ;12/1999;11.980;183;7.945;0;157;0;1.944;-237;727;22;0;1.240;
56;PERFORMANCE                                           ;I;3;         ;12/1999;10.912;3;720;127;0;0;493;0;1.206;0;0;8.362;
57;INVESTOR                                              ;C;3;         ;12/1999;7.573;0;0;195;0;0;0;0;2.628;0;0;4.750;
58;STERLING                                              ;I;5;         ;12/1999;4.843;0;0;111;0;0;0;0;2.412;663;0;1.656;
Total 5 Maiores Bancos (Consolidado Bancario II)            ;;;;;;100.639.104;458.673;1.494.752;9.704.696;36.590.641;4.112;30.155.569;-315.040;4.838.966;80.810;5.975.134;11.650.789;
% de Participacao 5 maiores Bancos (Consolidado Bancario II);;;;;;12,0%;3,0%;2,0%;4,0%;41,0%;0,0%;12,0%;4,0%;4,0%;2,0%;19,0%;25,0%;
Total demais Bancos (Consolidado Bancario II)               ;;;;;;18.009.828;449.843;2.451.164;5.261.392;141.872;1.999;4.808.868;-170.171;1.732.396;83.862;2.560.981;687.622;
Total Consolidado Bancario II ( 58  Instituicoes )          ;;;;;;118.648.932;908.516;3.945.916;14.966.088;36.732.513;6.111;34.964.437;-485.211;6.571.362;164.672;8.536.115;12.338.411;
% de Participacao Consolidado Bancario II                   ;;;;;;14,0%;5,0%;5,0%;7,0%;41,0%;0,0%;14,0%;6,0%;5,0%;4,0%;28,0%;26,0%;
