50 Maiores Bancos e o Consolidado do Sistema Financeiro Nacional
ATIVOS
Data-base: Dezembro/1994;;;;;;;;;;;;;;;Balancetes processados até: 31/08/2005

;;;;;;;;;;;;;;;;Em R$ Mil
ATIVOS
Ranking;Instituições;TD;TC;Obs.;Data;Ativo;Disponibilidades;Aplicações;TVM e Instrumentos;Relações;Relações;Oper. Créd. e Arrend. Mercantil;;Outros;Outros;Imobilizado de;Permanente
;;;;;Balancete;Total;;Interfinanceiras;Financeiros Derivativos;Interfinanceiras;Interdependências;Total;Provisão p/ CL;Créditos;Valores e Bens;Arrendamento;(*)
54  ;MORGAN                                                ;I;4  ;2        ;12/1994;525.950;47.809;154.519;90.393;701;0;14.021;-508;208.765;0;0;10.249;
55  ;FIBRA                                                 ;I;3  ;2        ;12/1994;501.946;1.144;22.919;170.765;23.988;0;186.973;-769;72.166;2.974;0;20.852;
56  ;BANDEPE                                               ;I;2  ;2        ;12/1994;486.041;4.508;14.711;35.026;89.944;1.652;259.006;-789;25.674;4.281;0;52.029;
57  ;ABC-ROMA                                              ;I;5  ;2        ;12/1994;483.585;16.617;88.992;51.725;12.530;0;169.075;-833;86.483;37;0;58.960;
58  ;DEUTSCH                                               ;I;4  ;         ;12/1994;454.322;13.962;71.682;38.779;2.317;0;194.975;-457;113.078;614;0;19.373;
59  ;BNL                                                   ;I;4  ;2        ;12/1994;428.824;4.646;132.423;30.116;8.974;0;201.451;-9.833;38.104;440;1.633;20.662;
60  ;CITIBANK                                              ;I;4  ;2        ;12/1994;427.655;472;173.121;141.448;41.228;0;32.953;-163;2.561;379;0;33.422;
61  ;NEDERLANDEN                                           ;I;4  ;         ;12/1994;413.125;6.128;234.206;41.137;4.809;0;80.320;-1.603;40.348;99;0;7.681;
62  ;SUMITBANK                                             ;I;4  ;         ;12/1994;395.332;1.336;132.276;13.004;9.071;0;172.546;-1.086;60.387;1.359;0;6.440;
63  ;BMD                                                   ;I;3  ;2        ;12/1994;391.010;7.502;18.995;62.010;26.610;455;203.291;-3.826;53.341;1.124;0;21.509;
64  ;BEG                                                   ;I;2  ;2        ;12/1994;370.343;7.946;685;97.113;44.003;2.507;172.700;-99;24.001;632;0;20.854;
65  ;CACIQUE                                               ;I;3  ;         ;12/1994;357.408;5.028;7.638;128.827;16.694;0;129.760;-254;59.926;2.092;0;7.697;
66  ;SRL                                                   ;I;5  ;         ;12/1994;329.182;1.029;85.630;55.590;137;0;17.381;0;133.638;381;0;35.395;
67  ;BEAL                                                  ;I;4  ;2        ;12/1994;306.971;375;91.860;4.487;51.764;0;76.007;0;65.565;646;0;16.267;
68  ;AGRIMISA                                              ;I;3  ;2        ;12/1994;249.637;6.154;10.839;21.927;4.282;0;106.670;3.295;62.261;10.469;0;23.740;
69  ;SUL AMERICA                                           ;I;5  ;2        ;12/1994;236.589;4.163;36.862;42.547;22.057;0;51.082;0;28.074;2.964;0;48.840;
70  ;FININVEST                                             ;I;5  ;2        ;12/1994;234.150;1.763;1.995;53.715;14.631;950;122.675;-840;13.631;15;0;25.615;
71  ;BANFORT                                               ;I;3  ;2        ;12/1994;232.100;4.319;1.475;32.351;11.982;0;124.537;-453;21.611;16.334;0;19.945;
72  ;MITSUBISHI                                            ;I;4  ;2        ;12/1994;221.417;1.343;94.451;13.249;10.520;0;39.435;0;46.302;1.072;0;15.043;
73  ;BEA                                                   ;I;2  ;2        ;12/1994;193.995;4.257;0;10.527;17.676;2.149;141.100;-3.649;4.817;2.114;0;15.004;
74  ;BANPARA                                               ;I;2  ;2        ;12/1994;192.545;2.619;1.301;6.281;20.022;4.398;115.393;-490;6.661;553;0;35.808;
75  ;PORTUGUES                                             ;I;4  ;         ;12/1994;189.907;81;92.855;822;4.415;0;42.083;-361;38.111;13;0;7.670;
76  ;SANTOS                                                ;I;3  ;2        ;12/1994;170.480;1.187;2.834;116.241;2.405;0;28.201;-241;6.109;30;0;13.714;
77  ;INVESTCRED                                            ;I;3  ;2        ;12/1994;170.420;25;12.893;7.649;14.107;0;113.436;0;17.059;135;0;5.115;
78  ;OMEGA                                                 ;I;3  ;2        ;12/1994;177.135;762;7.770;78.631;4.194;0;47.603;-2.050;14.815;240;909;24.176;
79  ;CREDITO SP                                            ;I;3  ;2        ;12/1994;166.168;736;44.823;13.493;4.589;0;86.885;-1.880;12.717;316;0;4.489;
80  ;SOFISA                                                ;I;3  ;2        ;12/1994;148.715;214;40.201;15.547;4.626;5.305;62.558;-187;1.673;292;0;18.487;
81  ;PRODUBAN                                              ;I;2  ;2        ;12/1994;135.514;4.808;0;5.795;19.675;825;94.284;-436;1.081;193;0;9.291;
82  ;BEM                                                   ;I;2  ;2        ;12/1994;128.741;2.203;1.027;14.832;16.044;1.604;67.332;-220;4.233;924;0;20.764;
83  ;PANAMERICANO                                          ;I;3  ;2        ;12/1994;125.340;530;21.206;9.343;10.515;0;76.620;-1.138;2.464;681;0;5.119;
84  ;BANESE                                                ;I;2  ;         ;12/1994;121.693;9.883;0;15.259;17.724;0;58.869;-501;1.498;1.203;0;17.758;
85  ;AGF                                                   ;I;5  ;         ;12/1994;104.167;1.956;67.025;27.984;0;0;5.705;0;1.485;0;0;11;
86  ;BBC                                                   ;I;3  ;2        ;12/1994;113.576;6.674;25.601;7.520;13.836;376;45.299;-258;4.928;647;0;8.954;
87  ;BANSANDER                                             ;I;4  ;         ;12/1994;100.788;140;3.804;87.327;2;0;0;0;3.336;44;0;6.135;
88  ;SCHAHIN CURY                                          ;I;3  ;2        ;12/1994;101.421;1.371;12.860;22.251;2.141;0;48.194;-83;6.035;685;1.323;7.175;
89  ;FINANCIAL                                             ;I;4  ;         ;12/1994;92.914;1.611;5.458;7.526;2.420;120;23.432;0;47.254;1.680;0;3.415;
90  ;TRIANGULO                                             ;I;3  ;         ;12/1994;92.231;197;1.962;11.362;9.974;0;67.958;-519;918;16;0;362;
91  ;CONTINENTAL                                           ;I;5  ;2        ;12/1994;88.286;21.009;12.279;3.470;159;0;7.203;-52;43.207;5;0;1.006;
92  ;PEBB                                                  ;I;3  ;2        ;12/1994;84.850;910;7.894;36.793;171;0;10.892;0;67;0;0;28.124;
