50 Maiores Bancos e o Consolidado do Sistema Financeiro Nacional
ATIVOS
Data-base: Dezembro/1995;;;;;;;;;;;;;;;Balancetes processados até: 22/12/2005

;;;;;;;;;;;;;;;;Em R$ Mil
ATIVOS
Ranking;Instituições;TD;TC;Obs.;Data;Ativo;Disponibilidades;Aplicações;TVM e Instrumentos;Relações;Relações;Oper. Créd. e Arrend. Mercantil;;Outros;Outros;Imobilizado de;Permanente
;;;;;Balancete;Total;;Interfinanceiras;Financeiros Derivativos;Interfinanceiras;Interdependências;Total;Provisão p/ CL;Créditos;Valores e Bens;Arrendamento;(*)
68;BEG                                                   ;I;2;2;12/1995;384.105;6.044;50.816;32.859;32.781;460;215.713;-7.085;25.433;2.017;0;25.067;
69;BANFORT                                               ;I;3;2;12/1995;332.088;7.998;531;32.565;11.941;0;217.549;-5.624;31.364;6.529;0;29.235;
70;BANSANDER                                             ;I;4;         ;12/1995;349.556;159;40.033;296.189;1;0;0;0;4.957;99;0;8.117;
71;CACIQUE                                               ;I;3;         ;12/1995;295.788;808;52.912;101.674;7.276;0;92.116;-5;31.124;531;0;9.355;
72;BANPARA                                               ;I;2;2;12/1995;274.921;4.362;24.352;13.899;15.165;2.397;156.814;-2.291;15.851;492;0;43.880;
73;INVESTCRED                                            ;I;3;2;12/1995;261.261;498;42.197;27.903;7.846;0;163.048;0;12.676;83;0;7.011;
74;FININVEST                                             ;I;5;2;12/1995;231.623;1.331;35.618;42.807;8.740;140;97.294;-1.141;19.823;867;0;26.145;
75;AGF                                                   ;I;5;         ;12/1995;225.736;340;151.176;39.291;3.993;0;16.393;-63;13.897;0;0;709;
76;PANAMERICANO                                          ;I;3;2;12/1995;209.166;201;34.829;15.874;6.819;0;141.651;-592;3.025;715;0;6.646;
77;PORTUGUES                                             ;I;4;         ;12/1995;199.805;8.572;51.364;3.726;327;0;24.789;0;102.116;34;0;8.876;
78;SOFISA                                                ;C;3;         ;12/1995;201.822;914;67.448;13.396;3.169;1.983;92.916;-460;1.472;1.635;1.161;18.190;
79;CREDITO SP                                            ;I;3;2;12/1995;180.007;188;31.319;9.978;3.469;0;114.241;-1.448;10.078;1.072;0;11.110;
80;BEM                                                   ;I;2;2;12/1995;175.535;2.285;0;20.626;12.633;367;85.547;-505;26.028;1.511;0;27.041;
81;BANESE                                                ;I;2;         ;12/1995;159.936;3.595;10.507;14.351;23.459;0;81.931;-598;4.356;2.831;0;19.505;
82;FINANCIAL                                             ;I;4;         ;12/1995;155.509;6.883;11.738;20.247;528;97;19.253;-84;90.998;2.074;0;3.775;
83;SCHAHIN                                               ;C;3;         ;12/1995;151.188;1.483;12.821;27.118;701;0;70.592;-734;15.497;7.195;1.898;14.617;
84;PRODUBAN                                              ;I;2;2;12/1995;130.552;2.265;0;4.467;16.176;612;99.297;-4.658;1.422;261;0;10.710;
85;BBC                                                   ;I;3;2;12/1995;135.946;3.349;19.375;1.594;14.906;136;68.260;-1.376;15.502;897;0;13.302;
86;HISPANO                                               ;I;4;         ;12/1995;119.915;2.768;19.975;902;727;0;31.746;-3.749;61.618;217;0;5.710;
87;INDUSTRIAL                                            ;I;3;2;12/1995;111.891;32;21.060;26.629;3.032;0;36.536;-80;7.589;0;0;17.094;
88;BCO GARANTIA                                              ;I;3;2;12/1995;99.741;441;78.553;1.166;33;0;13.032;0;124;0;0;6.392;
89;PARAIBAN                                              ;I;2;         ;12/1995;99.603;437;19.245;19.785;596;0;3.425;-12;4.266;1.576;0;50.286;
90;CREDIBEL                                              ;I;3;         ;12/1995;96.996;127;51.429;11.293;2.176;708;25.049;-568;3.138;2.865;0;778;
91;CONTINENTAL                                           ;I;5;2;12/1995;96.070;52;58.823;10.233;15;0;532;0;25.292;55;0;1.067;
92;BRASCAN                                               ;C;5;         ;12/1995;91.888;43;39.569;13.018;5.250;339;11.022;0;9.808;620;0;12.219;
93;DAYCOVAL                                              ;I;3;2;12/1995;85.768;69;7.152;31.549;1.325;8;26.721;-1.390;2.855;13;0;17.465;
94;PEBB                                                  ;I;3;2;12/1995;85.597;1.511;12.414;23.513;569;0;10.911;0;102;0;0;36.576;
95;BEPI                                                  ;I;2;         ;12/1995;83.742;598;7.504;10.227;4.669;117;45.576;-1.017;3.664;5.055;0;7.348;
96;LAVRA                                                 ;I;3;2;12/1995;82.337;2.639;4.607;4.188;658;25;48.597;-77;5.805;1.695;0;14.200;
97;TRIANGULO                                             ;I;3;         ;12/1995;79.013;153;2.096;10.205;3.465;0;58.745;-230;3.527;216;0;836;
98;UNION                                                 ;I;4;         ;12/1995;76.027;693;1.492;4.625;686;0;48.157;-1.973;8.081;4.182;0;10.085;
99;BEMAT                                                 ;I;2;         ;12/1995;82.754;537;20.332;6.692;2.158;1.744;27.595;-322;4.788;326;0;18.904;
100;GUANABARA                                             ;I;3;         ;12/1995;66.099;256;10.251;1.658;1.082;0;52.358;-1.592;1.717;9;0;360;
101;FATOR                                                 ;C;3;         ;12/1995;65.777;177;39.251;10.090;4;0;110;0;7.587;0;0;8.558;
102;ARAUCARIA                                             ;I;3;2;12/1995;63.124;858;13.871;6.216;213;0;16.575;0;19.018;1.025;0;5.347;
103;MAPPIN                                                ;I;3;2;12/1995;60.527;2.039;48.987;1.021;7;0;0;0;784;30;0;7.659;
104;INTERUNION                                            ;I;3;2;12/1995;60.819;160;1.341;17.753;782;0;27.981;0;4.234;0;0;8.568;
105;INTERCAP                                              ;I;3;2;12/1995;58.783;174;8.841;13.167;970;0;27.781;-350;1.272;3;0;6.925;
106;PRIMUS                                                ;I;3;2;12/1995;57.645;33;7.271;34.600;0;0;0;0;3.596;14;0;12.131;
107;PARANA                                                ;I;3;2;12/1995;57.023;326;8.600;2.452;1.572;0;23.319;-528;11.709;2.192;0;7.380;
108;VR                                                    ;I;3;2;12/1995;59.023;80;37.332;4.553;588;0;14.231;-58;817;3;0;1.477;
109;VEGA                                                  ;C;3;         ;12/1995;54.041;217;3.288;995;3.489;0;36.945;-279;3.669;819;0;4.897;
110;PROSPER                                               ;I;3;2;12/1995;53.931;136;16.787;17.558;60;213;8.537;0;1.157;0;0;9.482;
111;FICSA                                                 ;I;3;2;12/1995;48.371;110;13.924;2.422;477;154;25.917;-1.060;5.529;451;0;445;
112;LOGICA                                                ;I;3;         ;12/1995;43.478;7;8.386;25.361;0;0;0;0;8.462;1;0;1.261;
113;MORADA                                                ;I;3;2;12/1995;43.163;75;3.627;56;6.375;0;19.209;-36;679;2.602;0;10.576;
114;PECUNIA                                               ;I;3;2;12/1995;38.104;63;8.468;430;918;8;19.677;-463;6.170;576;0;2.257;
115;LUSO BRASILEIRO                                       ;I;3;         ;12/1995;37.872;266;6.211;189;699;0;25.621;-1.782;840;11;0;5.817;
116;LA PROVINCIA                                          ;I;4;         ;12/1995;35.951;541;17.258;18;185;0;3.994;-236;13.370;0;0;823;
117;UNIVERSAL                                             ;I;3;2;12/1995;34.542;76;0;479;599;3.976;17.509;0;1.174;1.769;0;8.960;
118;AGROINVEST                                            ;I;5;2;12/1995;33.390;5;15.997;1.129;458;0;16.416;-1.201;381;5;0;198;
119;BANER                                                 ;I;2;         ;12/1995;31.836;761;299;5.118;305;3;16.867;-1.784;955;50;0;9.263;
120;BANAP                                                 ;I;2;         ;12/1995;27.369;47;633;4.176;1.237;1;20.128;-1.091;766;14;0;1.458;
121;EXTERIBANK                                            ;I;4;         ;12/1995;25.741;137;5.236;19.072;35;0;403;0;293;50;0;515;
122;SEGMENTO                                              ;I;3;2;12/1995;24.758;63;7.463;301;392;0;8.467;-164;520;867;0;6.849;
123;RENNER                                                ;I;3;         ;12/1995;23.022;16;7.576;30;716;0;14.044;-187;464;47;0;316;
124;CEDULA                                                ;I;3;2;12/1995;22.612;130;1.419;253;279;72;15.141;0;798;768;0;3.753;
125;INTERIOR                                              ;I;3;         ;12/1995;22.493;45;3.856;943;531;0;16.407;-36;141;21;0;586;
126;EMPRESARIAL                                           ;I;3;2;12/1995;21.032;105;179;1.690;288;0;12.640;-152;449;179;0;5.654;
127;CLASSICO                                              ;I;3;         ;12/1995;20.985;3.541;16.028;61;116;121;702;0;11;0;0;404;
128;CRUZEIRO                                              ;I;3;2;12/1995;19.955;119;45;22;319;0;4.538;-50;7.351;1;0;7.610;
129;RIBEIRAO PRETO                                        ;I;3;         ;12/1995;23.613;1;5.565;1.676;324;0;15.287;0;546;8;0;205;
130;LA REPUBLICA                                          ;I;4;         ;12/1995;18.586;601;1.194;35;182;0;11.870;-721;3.270;440;0;1.715;
131;CAMBIAL                                               ;C;3;         ;12/1995;18.271;75;175;11.647;40;0;714;0;2.031;4;0;3.584;
132;BVA                                                   ;I;3;         ;12/1995;18.944;207;985;62;6;0;7.192;0;113;0;0;10.379;
133;MATONE                                                ;I;3;2;12/1995;17.937;60;2.499;1.536;377;0;8.949;-178;1.352;357;0;2.985;
134;BGN                                                   ;I;3;         ;12/1995;17.066;61;9.054;0;6;0;6.993;-94;8;2;0;1.036;
135;BANCNACION                                            ;I;4;         ;12/1995;16.678;395;106;200;574;79;3.520;0;6.138;13;0;5.654;
136;PREMIER                                               ;I;3;         ;12/1995;16.516;23;3.283;0;407;0;11.167;0;490;394;0;753;
137;SANTOS NEVES                                          ;I;3;2;12/1995;16.510;214;944;1.327;227;0;4.456;-117;181;21;0;9.256;
138;GERDAU                                                ;I;3;2;12/1995;15.272;222;1.963;0;653;0;12.200;-7;33;0;0;209;
139;INDUSCRED                                             ;I;3;2;12/1995;16.476;89;4.234;7;361;0;9.006;-311;346;170;0;2.573;
140;COMERCIAL SP                                          ;I;3;         ;12/1995;9.036;848;0;0;1.289;0;2.968;0;298;1.919;0;1.714;
141;THECA                                                 ;I;3;2;12/1995;8.222;6;290;0;0;0;0;0;995;1;0;6.930;
142;BCO PLANIBANC                                             ;I;5;2;12/1995;6.696;155;3.903;1.998;0;0;0;0;586;0;0;54;
143;BANCIONAL                                             ;I;3;2;12/1995;4.841;40;3.441;30;43;0;1.113;0;66;3;0;105;
144;CREDIPLAN                                             ;I;3;         ;12/1995;2.559;187;71;21;267;0;892;0;411;13;0;696;
Total 50 Maiores Bancos (Consolidado Bancario I)            ;;;;;;444.116.445;8.964.515;81.278.631;73.203.379;27.282.242;436.002;169.232.460;-2.978.065;50.827.723;3.263.357;6.317.837;26.288.358;
% de Participacao 50 maiores Bancos (Consolidado Bancario I);;;;;;74,0%;88,0%;66,0%;83,0%;58,0%;57,0%;84,0%;66,0%;73,0%;78,0%;44,0%;59,0%;
Total demais Bancos (Consolidado Bancario I)                ;;;;;;18.809.537;149.238;4.552.820;2.920.421;757.535;18.579;6.133.290;-102.705;2.821.621;112.813;151.146;1.294.769;
Total Consolidado Bancario I ( 144  Instituicoes )          ;;;;;;462.925.982;9.113.753;85.831.451;76.123.800;28.039.777;454.581;175.365.750;-3.080.770;53.649.344;3.376.170;6.468.983;27.583.127;
% de Participacao Consolidado Bancario I                    ;;;;;;77,0%;90,0%;70,0%;86,0%;60,0%;59,0%;87,0%;69,0%;78,0%;80,0%;45,0%;62,0%;
1;BNDES                                                 ;I;1;         ;12/1995;43.569.375;43.274;42.771;2.132.226;15.185.059;0;7.840.491;-3.814;6.415.415;221;0;11.913.733;
2;ECONOMICO                                             ;C;3;         ;12/1995;5.815.336;402.535;63.292;962.032;765.884;447;2.655.876;-216.667;550.276;48.055;74.963;508.642;
3;NOROESTE                                              ;C;3;         ;12/1995;3.914.720;195.498;1.092.312;389.465;105.402;1.063;1.351.418;-7.270;387.640;15.255;155.310;228.628;
4;CCF BRASIL                                            ;C;4;         ;12/1995;5.274.688;68.362;3.435.540;273.780;22.606;0;184.286;-2.119;1.117.787;3.060;118.105;53.281;
5;NACIONAL                                              ;C;3;         ;12/1995;3.198.221;3.482;92.769;1.000.521;451.735;57;274.067;-291.658;1.061.985;17.337;277.243;310.685;
6;BBI;C;3;         ;12/1995;2.816.445;853;790.641;1.157.430;241.368;100.700;171.774;-2.830;339.311;871;0;16.326;
7;BCO INV GARANTIA                                              ;I;3;2;12/1995;2.242.590;16.053;10.035;1.017.391;345.039;0;37.716;0;479.836;1;0;336.518;
8;NORCHEM                                               ;C;5;         ;12/1995;2.382.527;8.807;1.777.414;214.197;22.661;0;21.455;-1.480;236.043;1.366;0;102.063;
9;BANORTE                                               ;I;3;2;12/1995;1.839.688;16.772;10.996;185.334;225.503;0;999.948;-10.865;174.176;46.270;0;191.553;
10;MULTIPLIC                                             ;C;5;         ;12/1995;1.773.341;3.401;101.918;650.891;27.936;0;422.612;-13.275;285.478;4.355;23.793;266.233;
11;BANCOCIDADE                                           ;C;3;         ;12/1995;2.114.337;12.855;811.886;247.088;70.322;3;687.061;-10.662;77.147;27.974;111.893;78.769;
12;BISA                                                  ;I;3;2;12/1995;1.395.762;5.680;218.293;51.390;55.779;137;543.307;-1.358;267.869;6.983;0;247.682;
13;FIAT                                                  ;I;4;2;12/1995;1.263.044;4.356;192.576;73.503;14.834;0;845.842;-15.297;32.525;3.212;0;111.493;
14;ICATU                                                 ;I;3;2;12/1995;1.671.542;15.177;598.828;310.217;3.331;0;16.428;-2.000;579.857;800;0;148.904;
15;BRDE                                                  ;I;2;         ;12/1995;1.009.798;403;174.104;10.741;5;0;815.468;-6.833;8.268;3.589;1.541;2.512;
16;INTER-ATLANTICO                                       ;I;5;2;12/1995;1.010.053;13.307;464.402;70.540;26.058;47.664;217.677;-192;111.528;1.809;989;56.269;
17;GENERAL MOTORS                                        ;I;4;2;12/1995;843.344;1.037;44.751;236;2.331;3.297;732.166;-926;17.832;7.319;0;35.300;
18;BDMG                                                  ;I;2;         ;12/1995;781.298;169;0;272.227;1.838;0;389.533;-10.115;101.808;1.395;0;24.444;
19;AUTOLATINA                                            ;I;4;2;12/1995;741.737;6.563;4.917;0;17.082;0;698.934;-31.470;29.200;16.131;0;380;
20;TOKYO                                                 ;I;4;2;12/1995;555.135;6.651;103.617;9.952;3.837;54;70.607;0;320.102;827;0;39.488;
21;MATRIX                                                ;C;3;         ;12/1995;502.279;3.047;31.106;261.899;5.097;0;0;0;126.983;27;0;74.119;
22;MULTI                                                 ;I;4;2;12/1995;493.571;1.254;173.960;60.886;16.818;0;14.985;0;218.034;2.185;0;5.447;
23;DESENBANCO                                            ;I;2;         ;12/1995;447.079;36;2.467;0;8.732;0;418.574;-1.635;6.902;3.893;0;8.111;
24;BADESC                                                ;I;2;         ;12/1995;330.556;188;16.907;2.804;389;0;307.024;-1.730;1.769;2.573;0;631;
25;PROGRESSO                                             ;C;3;         ;12/1995;310.096;1.171;5.456;34.685;11.580;27;123.623;-1.648;58.360;23.043;14.679;39.120;
26;BOREAL                                                ;I;3;2;12/1995;333.539;1.318;30.378;280.480;10;0;2.126;0;1.186;3;0;18.038;
27;BCO MERCANTIL PERNAMBUCO INVS                                           ;I;3;2;12/1995;281.285;2.881;8.720;38.505;36.089;0;131.124;-4.760;43.798;13.000;0;11.928;
28;BRASEG                                                ;I;5;         ;12/1995;280.527;517;100.158;57.779;30.655;0;55.197;-2.574;31.109;1.390;0;6.294;
29;CREFISUL                                              ;I;5;2;12/1995;256.460;566;25.337;58.093;818;0;108.627;-5.009;27.497;20;0;40.509;
30;FENICIA                                               ;I;3;2;12/1995;231.718;2.084;15.348;66.629;4.749;0;99.182;-313;23.047;2.901;0;18.091;
31;BANQUEIROZ                                            ;I;3;2;12/1995;219.978;2.889;5.850;13.851;8.312;83;134.240;-3.117;35.254;1.123;0;21.493;
32;LIBERAL;C;3;         ;12/1995;207.066;149;256;135.019;68;52;92;-1;58.259;85;0;13.088;
33;BANDES                                                ;I;2;2;12/1995;200.525;215;9.311;57.300;101;0;132.177;-2.260;1.369;39;0;2.274;
34;CINDAM                                                ;I;3;2;12/1995;195.431;18.236;15.805;97.289;747;0;2.872;0;38.692;49;0;21.741;
35;BRJ                                                   ;I;3;         ;12/1995;182.821;191;3.538;9.385;39.085;0;119.831;-103;1.039;2.113;0;7.742;
36;GRAPHUS                                               ;C;3;         ;12/1995;177.679;10.990;298;34.634;6;101.900;7.780;0;11.767;0;0;10.304;
37;PATENTE                                               ;C;3;         ;12/1995;744.534;309;586.051;99.770;268;0;6.515;0;31.280;26;0;20.315;
38;RENDIMENTO                                            ;C;3;         ;12/1995;175.998;3.356;27.924;45.310;2.857;0;73.152;-589;11.872;265;0;11.850;
39;TRANSBANCO                                            ;I;3;2;12/1995;160.180;52;7.782;2.786;19.364;0;119.353;-1.913;9.064;1.790;0;1.903;
40;BERON                                                 ;I;2;         ;12/1995;159.412;2.104;11.551;5.455;2.071;21.900;87.027;-3.216;12.485;918;0;19.118;
41;BCO FINASA INV                                               ;I;3;2;12/1995;151.873;1;14.053;0;744;0;18.680;-68;22.368;0;0;96.095;
42;INDUSVAL                                              ;I;3;2;12/1995;146.151;2.308;3.900;46.065;1.715;0;57.703;-1.161;21.989;618;0;13.014;
43;GULFINVEST                                            ;I;5;2;12/1995;144.857;101;85.867;7.749;1.233;0;20.723;-86;20.982;0;0;8.286;
44;ARBI                                                  ;I;3;2;12/1995;138.498;730;27;18.720;1.475;25.293;46.289;1.152;5.685;4.545;0;34.582;
