Id;NomeIf;Segmento;Cnpj;DataInicioRegime;DataFimRegime;TipoRegime;Situacao;Uf
509;SENSO DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.;Sociedade Distribuidora de TVM;17352220000187;1989-08-02;1989-09-26;Liquidação extrajudicial;Encerrado (Apresentação de garantias e prosseguimento das atividades.);RJ
1.129;SEQUEVEL ADMINISTRADORA DE CONSORCIOS S.C. LTDA;Administradora de Consórcio;77107100000146;1997-05-21;2002-07-09;Liquidação extrajudicial;Encerrado (Falência.);SP
703;SERCO - SERVICOS DE CREDITO CADASTRO E COBRANCA LTDA;Outras Empresas;33717067000109;1983-06-27;1983-08-12;Intervenção;Encerrado (Aprovação de contas e baixa no registro público.);RJ
704;SERCO - SERVICOS DE CREDITO CADASTRO E COBRANCA LTDA;Outras Empresas;33717067000109;1983-08-12;1990-02-07;Liquidação extrajudicial;Encerrado (Aprovação de contas e baixa no registro público.);RJ
1.077;SEVAL - DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA;Sociedade Distribuidora de TVM;62358668000162;1981-01-21;1981-05-18;Intervenção;Encerrado (Aprovação de contas e baixa no registro público.);SP
1.078;SEVAL - DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA;Sociedade Distribuidora de TVM;62358668000162;1981-05-18;1982-02-16;Liquidação extrajudicial;Encerrado (Aprovação de contas e baixa no registro público.);SP
824;SEVEN - PROMOTORA DE VENDAS LTDA;Outras Empresas;43641836000188;1981-01-21;1981-05-18;Intervenção;Encerrado (Aprovação de contas e baixa no registro público.);SP
825;SEVEN - PROMOTORA DE VENDAS LTDA;Outras Empresas;43641836000188;1981-05-18;1982-02-16;Liquidação extrajudicial;Encerrado (Aprovação de contas e baixa no registro público.);SP
1.191;SEZAL COMERCIO E ADMINISTRACAO;Outras Empresas;92853373000123;1969-04-08;1970-09-01;Liquidação extrajudicial;Encerrado (Encerrado anterior à Lei 6.024/74.);RS
532;SF CONSULTORIA E EMPREENDIMENTOS LTDA;Outras Empresas;20436713000100;1995-05-24;1997-04-03;Liquidação extrajudicial;Encerrado (Falência.);MG
833;SHARP ADMINISTRAÇÃO DE CONSORCIOS S/C LTDA;Administradora de Consórcio;44388429000173;2002-08-01;2005-06-29;Liquidação extrajudicial;Encerrado (Falência.);SP
355;SHECK CORRETORA DE TITULOS E VALORES MOBILIARIOS LTDA;Sociedade Corretora de TVM;00120177000121;1997-02-21;1997-11-28;Liquidação extrajudicial;Encerrado (Apresentação de garantias e prosseguimento das atividades.);RJ
